,Unnamed: 0,underlying,type,expiration,quotedate,strike,bid,ask,volume,bs,garch,gp
142,142,SPXW,put,2019-10-16,2019-10-02,2500.0,0.7,0.8,178,5.459521625197439e-06,0.0,0.0
143,143,SPXW,put,2019-10-16,2019-10-02,2525.0,0.9,1.0,6,3.1703774801672586e-05,0.0,0.0103990116254849
144,144,SPXW,put,2019-10-16,2019-10-02,2540.0,1.05,1.15,86,8.582125669682854e-05,0.0,0.0101592922154405
145,145,SPXW,put,2019-10-16,2019-10-02,2550.0,1.15,1.25,8,0.0001626976832198,0.0,0.0
146,146,SPXW,put,2019-10-16,2019-10-02,2560.0,1.25,1.4,152,0.0003026069689811,0.0,0.0091704622383221
147,147,SPXW,put,2019-10-16,2019-10-02,2575.0,1.5,1.6,135,0.0007410456366942,0.0,0.0049516582255948
148,148,SPXW,put,2019-10-16,2019-10-02,2580.0,1.55,1.7,39,0.0009896581162524,0.05920230598887231,0.0100097826553003
149,149,SPXW,put,2019-10-16,2019-10-02,2590.0,1.7,1.85,1,0.0017411346470727,0.20765529833317894,0.0038617939787558
150,150,SPXW,put,2019-10-16,2019-10-02,2600.0,1.9,2.05,42,0.0030086224983632,0.024970099547558643,0.0216286631404286
151,151,SPXW,put,2019-10-16,2019-10-02,2610.0,2.1,2.25,49,0.0051075233863586,0.0,0.0126437341769756
152,152,SPXW,put,2019-10-16,2019-10-02,2620.0,2.35,2.55,225,0.0085207860573504,0.05125626014333528,0.0383195700847812
153,153,SPXW,put,2019-10-16,2019-10-02,2625.0,2.5,2.65,56,0.0109348203225647,0.05593672378365447,0.0710358888461701
154,154,SPXW,put,2019-10-16,2019-10-02,2630.0,2.65,2.8,17,0.0139731772733464,0.09730985558519473,0.0661017074335019
155,155,SPXW,put,2019-10-16,2019-10-02,2640.0,2.95,3.1,50,0.0225308124518965,0.10976971883303599,0.067034871428788
156,156,SPXW,put,2019-10-16,2019-10-02,2650.0,3.3,3.5,78,0.0357310011238354,0.14832780286864117,0.0917901287233805
157,157,SPXW,put,2019-10-16,2019-10-02,2660.0,3.7,3.9,23,0.0557469703776298,0.06028209208512654,0.1593753202781012
158,158,SPXW,put,2019-10-16,2019-10-02,2670.0,4.1,4.4,8,0.0855907783631515,0.33471198708807637,0.2238941706302889
159,159,SPXW,put,2019-10-16,2019-10-02,2680.0,4.6,4.9,220,0.1293555486404098,0.7134141804231544,0.226875853411256
160,160,SPXW,put,2019-10-16,2019-10-02,2685.0,4.9,5.2,2,0.1581010990549884,0.3891203684315574,0.3723314766912698
